course_name,url_classCentral,end_url,provider_slug,summary,duration,entity_url,type,source,language
Introduction to Blockchain,/course/introduction-to-blockchain-73913,https://explore.skillbuilder.aws/learn/course/external/view/elearning/462/introduction-to-blockchain,aws-skill-builder,"Learn the fundamentals of blockchain technology, its benefits, challenges, and real-world applications with this 1-hour course offered by Amazon Web Services.",1 hour,/institution/aws,free,classCentral,en
Solidworks Essentials,/course/udemy-solidworks-essentials-36878,https://www.udemy.com/course/solidworks-essentials/,udemy,"Beginner's guide to SolidWorks, covering 2D and 3D design, sketching, and advanced features. Ideal for those new to design software. 7-hour course.",6 hours 36 minutes,/provider/udemy,free,classCentral,en
Windows Reversing Intro,/course/tryhackme-windows-reversing-intro-119214,https://tryhackme.com/room/windowsreversingintro,try-hack-me,This room is part of a series of rooms that will introduce you to reverse engineering software on Windows. This is going to be a fairly short and easy room in which you will be introduced to how higher-level concepts look at a lower level. You will also…,,/provider/try-hack-me,free,classCentral,en
Configure and manage procurement and vendors in Dynamics 365 Supply Chain Management,/course/microsoft-learn-configure-and-manage-procurement-and-vendors-in-dynamics-365-supply-chain-management-62508,https://learn.microsoft.com/en-us/training/paths/configure-manage-procurement-vendors-dyn365-supply-chain-mgmt/,microsoft-learn,"The process of finding and working with vendors, purchasing products, and ensuring the quality of goods and services are all important factors that impact a company's reputation and success.",14 hours 6 minutes,/institution/microsoft,free,classCentral,en
Exploring Data with Looker: Challenge Lab,/course/exploring-data-with-looker-challenge-lab-200396,https://www.cloudskillsboost.google/focuses/18116,cloudskillsboost,"In this lab, you will test your skills to view, filter, and sort data in Looker. You will also be expected to save Looks, add them to a dashboard, add them to a board, and schedule regular delivery of data.",1 hour,/institution/google,free,classCentral,en
The importance of interpersonal skills,/course/openlearn-money-business-leadership-management-the-importance-interpersonal-skills-95505,https://www.open.edu/openlearn/money-business/leadership-management/the-importance-interpersonal-skills/content-section-0,openlearn,"To succeed in management you need good interpersonal skills, you need to understand how to deal with other people. This free course, The importance of interpersonal skills, will help you gain an ...",3 hours,/university/tou,free,classCentral,en
Stanford Seminar - A Superscalar Out-of-Order x86 Soft Processor for FPGA,/course/independent-stanford-seminar-a-superscalar-out-of-order-x86-soft-processor-for-fpga-108739,https://www.youtube.com/watch,independent,"Stanford University offers a short course on designing an out-of-order x86 CPU for FPGA, covering microarchitecture, circuit design, and performance optimization.",,/university/stanford,free,classCentral,en
The Wilton Method®: Creative Cake Pops,/course/craftsy-the-wilton-method-creative-cake-pops-116412,https://www.craftsy.com/class/the-wilton-method-creative-cake-pops,craftsy,Make the best cake pops on the block. Learn a collection of dazzling decorating techniques in this FREE mini-class and deliver perfect treats…,1 hour 16 minutes,/provider/craftsy,free,classCentral,en
Connect to the Land,/course/creativelive-connect-to-the-land-kiliii-yuyan-128899,https://www.creativelive.com/class/connect-to-the-land-kiliii-yuyan,creativelive,"Connect to the Land with Kiliii Yüyan, Kenna Klosterman",50 minutes,/provider/creativelive,free,classCentral,en
Introduction to Poultry Farming,/course/swayam-introduction-to-poultry-farming-14160,https://onlinecourses.swayam2.ac.in/nou24_ag06/preview,swayam,The course is designed to acquaint with the status and perspective of Indian Poultry Industry. Various types of poultry farms and farming systems practised in India are given specially emphasis and discussed in detail. The course will also throw light on…,12 weeks,/university/ignou,free,classCentral,en
Foundations: Web Development,/course/theodinproject-foundations-66512,https://www.theodinproject.com/paths/foundations/courses/foundations,the-odin-project,"This is where it all begins! A hands-on introduction to all of the essential tools you'll need to build real, working websites. You'll learn what web developers actually do – the foundations you'll need for later courses.",,/provider/the-odin-project,free,classCentral,en
Exploring Play: The Importance of Play in Everyday Life,/course/play-2134,https://www.futurelearn.com/courses/play,futurelearn,"Understanding the nature and value of play through the course of our lives, across cultures and communities.",7 weeks,/university/shef,free,classCentral,en
Nutrition and Health: Food Safety,/course/nutrition-wageningen-university-research-nutritio-5157,https://www.edx.org/learn/nutrition/wageningen-university-research-nutrition-and-health-food-safety,edx,"Learn about bacteria, pesticides and health hazards present in food. This online course is offered as a MOOC which means that you can study at your own pace, at your own time and anywhere you want.","8 weeks, 6-8 hours a week",/university/wageningenur,free,classCentral,en
Generative AI for Executives,/course/generative-ai-for-executives-264904,https://explore.skillbuilder.aws/learn/course/external/view/elearning/16666/generative-ai-for-executives,aws-skill-builder,"AWS's brief primer on generative AI for executives, exploring its business applications and transformative potential.",,/institution/aws,free,classCentral,en
Deep Learning with PyTorch: Zero to GANs,/course/jovian-deep-learning-with-pytorch-zero-to-gans-80399,https://jovian.com/learn/deep-learning-with-pytorch-zero-to-gans,jovian,"""Deep Learning with PyTorch: Zero to GANs"" is a beginner-friendly online course offering a practical and coding-focused introduction to deep learning using the PyTorch framework. Enroll now to start learning.","24 weeks, 2-3 hours a week",/provider/jovian,free,classCentral,en
Introduction to Julia (for programmers),/course/juliaacademy-introduction-to-julia-for-programmers-59228,https://juliaacademy.com/p/intro-to-julia,julia,This course curriculum is designed with the objective of enabling beginner level programmers in getting up to speed with Julia,1-2 hours,/provider/julia,free,classCentral,en
Introduction to Cybersecurity,/course/cisco-introduction-to-cybersecurity-97415,https://www.netacad.com/courses/cybersecurity/introduction-cybersecurity,networking-academy,"Discover the world of cybersecurity and its impact, as you uncover the most common threats, attacks and vulnerabilities.",15 hours,/institution/cisco,free,classCentral,en
Packet Tracer labs for the CCNA 200-301 exam: Practical labs,/course/udemy-free-packet-tracer-labs-for-the-ccna-exam-p-32428,https://www.udemy.com/course/free-packet-tracer-labs-for-the-ccna-exam-practical-ccna-tests/,udemy,Hands on labs to help you prepare. Are you ready to pass the new CCNA 200-301 exam? Covers new material.,13 hours 43 minutes,/provider/udemy,free,classCentral,en
Work with Dynamics 365 Guides,/course/microsoft-learn-work-with-dynamics-365-guides-62572,https://learn.microsoft.com/en-us/training/paths/work-dynamics-365-guides/,microsoft-learn,"Work with Dynamics 365 Guides, the mixed reality application that displays step-by-step holographic instructions right where the work happens.",7 hours 51 minutes,/institution/microsoft,free,classCentral,en
Begin with Workspace: Essentials: Challenge Lab,/course/begin-with-workspace-essentials-challenge-lab-200125,https://www.cloudskillsboost.google/focuses/39167,cloudskillsboost,"Learn to configure your Workspace app as a group member with Google's under 1-hour course, covering tasks like scheduling meetings and creating AppSheet applications.",,/institution/google,free,classCentral,en
Network security,/course/openlearn-digital-computing-network-security-96095,https://www.open.edu/openlearn/digital-computing/network-security/content-section-0,openlearn,"Encryption of files and firewalls are just some of the security measures that can be used in security. This free course, Network security, which assumes you have a substantial knowledge of ...",25 hours,/university/tou,free,classCentral,en
Fundamentals of digital marketing,/course/google-fundamentals-of-digital-marketing-98265,https://skillshop.exceedlms.com/student/collection/654330-digital-marketing,independent,"Master digital marketing basics with this free, 40-hour course by Google. Learn SEO, SEM, social media, mobile marketing, content marketing, and analytics through 26 practical modules.",40 hours,/institution/grow-with-google,free,classCentral,en
Bag-Making Basics: Reversible Tote & Zipper Pouch,/course/craftsy-bag-making-basics-reversible-tote-zipper-pouch-116427,https://www.craftsy.com/class/bag-making-basics-reversible-tote-zipper-pouch,craftsy,Learn how to make two cute bags with Kristin Link of Sew Mama Sew!,1 hour 15 minutes,/provider/craftsy,free,classCentral,en
The Stories that Hold Us Back,/course/creativelive-the-stories-that-hold-us-back-jon-ac-128914,https://www.creativelive.com/class/the-stories-that-hold-us-back-jon-acuff,creativelive,"The Stories that Hold Us Back with Jon Acuff, Chase Jarvis",1 hour 7 minutes,/provider/creativelive,free,classCentral,en
Research Methodology,/course/swayam-research-methodology-17760,https://onlinecourses.swayam2.ac.in/cec24_ge02/preview,swayam,"The course covers all the conceptual and methodological issues that go into successful conduction of research. This includes philosophy of science, the methodological issues in measurement, proposing and testing hypotheses, scientific communication and t…",15 weeks,/university/national-law,free,classCentral,en
Introduction to Research Ethics: Working with People,/course/research-ethics-an-introduction-12091,https://www.futurelearn.com/courses/research-ethics-an-introduction,futurelearn,Find out how to conduct ethical research when working with people with this online course for academic researchers.,"2 weeks, 4 hours a week",/university/leeds,free,classCentral,en
Sustainability in Architecture: An Interdisciplinary Introduction,/course/architecture-universitat-politecnica-de-valencia--11438,https://www.edx.org/learn/architecture/universitat-politecnica-de-valencia-sustainability-in-architecture-an-interdisciplinary-introduction,edx,This course introduces the basic elements and trendsthat define sustainability practices in Architecture today. Itfollows an interdisciplinary approach that includes performance assessment and urban policies.,"4 weeks, 3-4 hours a week",/university/upv,free,classCentral,en
Exam Prep:  AWS Certified Solutions Architect - Associate (Get Certified),/course/exam-prep-aws-certified-solutions-architect-assoc-71291,https://explore.skillbuilder.aws/learn/course/external/view/elearning/11348/exam-prep-aws-certified-solutions-architect-associate-get-certified,aws-skill-builder,"Prepare for the AWS Certified Solutions Architect - Associate exam with this 6-hour course by Amazon Web Services. Gain hands-on experience, practice with sample questions, and learn AWS best practices.",6 hours,/institution/aws,free,classCentral,en
Big Data and Hadoop Essentials,/course/udemy-big-data-and-hadoop-essentials-free-tutoria-61207,https://www.udemy.com/course/big-data-and-hadoop-essentials-free-tutorial/,udemy,"Gain essential knowledge of Big Data and Hadoop in less than an hour. Understand its history, impact on businesses, and demystify major vendors. Free course.",,/provider/udemy,free,classCentral,en
Python,/course/python-74248,https://www.kaggle.com/learn/python,kaggle,Learn the most important language for data science.,5 hours,/provider/kaggle,free,classCentral,en
MD-102 Manage endpoint security,/course/microsoft-learn-md-102-manage-endpoint-security-262487,https://learn.microsoft.com/en-us/training/paths/manage-endpoint-security/,microsoft-learn,"Module 1: This module describes how you can use Intune to create and manage WIP policies that manage this protection. The module also covers implementing BitLocker and Encrypting File System.After this module, you should be able to:  Describe Windows Inf…",2 hours 34 minutes,/institution/microsoft,free,classCentral,en
Creating Measures and Dimensions Using LookML,/course/creating-measures-and-dimensions-using-lookml-200190,https://www.cloudskillsboost.google/focuses/18476,cloudskillsboost,"In this lab, you will build dimensions and measures and practice these features in LookML to learn different types of dimensions and measures Looker supports.",1 hour,/institution/google,free,classCentral,en
The Roman Empire: introducing some key terms,/course/openlearn-history-the-arts-history-the-roman-empire-introducing-some-key-terms-95815,https://www.open.edu/openlearn/history-the-arts/history/the-roman-empire-introducing-some-key-terms/content-section-0,openlearn,"This free course, The Roman Empire: Introducing some key terms, will define basic concepts and terms that are essential for an understanding of the culture and identity of the Roman Empire. Terms ...",14 hours,/university/tou,free,classCentral,en
Pediatric Sports: Safe Return to Play Finger Fractures (Recording),/course/pediatric-sports-safe-return-to-play-finger-fract-106694,https://stanford.cloud-cme.com/course/courseoverview,independent,"Stanford University offers an online course on pediatric finger fractures, covering diagnosis, treatment options, and safe return to sports.",,/university/stanford,free,classCentral,en
Man About Cake Season 4,/course/craftsy-man-about-cake-season-4-116444,https://www.craftsy.com/class/man-about-cake-season-4,craftsy,"Welcome to Man About Cake, a weekly YouTube show full of laughs… and tiers. Kick it with our Caked Crusader, Joshua John Russell.",1 hour 22 minutes,/provider/craftsy,free,classCentral,en
Transform Your Mind in 12 Minutes a Day,/course/creativelive-transform-your-mind-in-12-minutes-a--128929,https://www.creativelive.com/class/transform-your-mind-in-12-minutes-a-day-dr-amishi-jha,creativelive,"Transform Your Mind in 12 Minutes a Day with Dr. Amishi Jha, Chase Jarvis",1 hour 16 minutes,/provider/creativelive,free,classCentral,en
Advanced Corporate Strategy,/course/swayam-advanced-corporate-strategy-17505,https://onlinecourses.swayam2.ac.in/imb24_mg02/preview,swayam,This course is offered for students who seek advanced exposure to corporate strategy. It builds on IIMBx course &ldquo;Strategic Management which dealt with strategies for single business firms. The principal focus of this course will be the strategic is…,6 weeks,/university/iimb,free,classCentral,en
International Finance,/course/marginal-revolution-university-international-finance-4096,https://mru.org/international-finance,mru,"Exchange rates, currency issues, Euro Crisis, international trade, and more.",6 hours,/provider/mru,free,classCentral,en
STAT 506: Sampling Theory and Methods,/course/open-edatpsu-stat-506-sampling-theory-and-methods-116656,https://online.stat.psu.edu/statprogram/stat506,oer-psu,The aim of this course is to cover sampling design and analysis methods that would be useful for research and management in many field. A well designed sampling procedure ensures that we can summarize and analyze data with a minimum of assumptions and co…,,/university/psu,free,classCentral,en
Introduction to Intercultural Studies: Crossing Borders,/course/intercultural-studies-crossing-borders-10563,https://www.futurelearn.com/courses/intercultural-studies-crossing-borders,futurelearn,Take a closer look at geographical and cultural borders and understand their effects on people who occupy them or cross them.,"2 weeks, 5 hours a week",/university/leeds,free,classCentral,en
Strategic Communication for Sustainability Leaders,/course/sustainability-university-of-maryland-center-for--22650,https://www.edx.org/learn/sustainability/university-of-maryland-center-for-environmental-science-strategic-communication-for-sustainability-leaders,edx,Communicating science effectively is a critical skill for anyone involved in environmental policy or sustainability. Learn how to integrate effective visualizations into compelling narratives to clearly explain complex ecosystem processes.,"5 weeks, 5-8 hours a week",/university/usmd,free,classCentral,en
Block Storage Learning Plan Badge Assessment,/course/block-storage-learning-plan-badge-assessment-71430,https://explore.skillbuilder.aws/learn/course/external/view/elearning/10804/block-storage-learning-plan-badge-assessment,aws-skill-builder,"Test your knowledge of block storage with Amazon Web Services' assessment. Score 80% or better to earn a learning badge from Credly, aiding in AWS certification.",,/institution/aws,free,classCentral,en
Teaching the Computer Science Discoveries Course,/course/mooc-ed-teaching-the-computer-science-discoveries-course-13673,https://place.fi.ncsu.edu/local/catalog/course.php,mooced,"Computer Science Discoveries (CSD) is an introductory computer science curriculum for students in Grades 6 through 10. It covers topics such as programming, physical computing, HTML/CSS, and data. The curriculum inspires students as they build their own…",20 hours,/institution/friday-institute,free,classCentral,en
Introduction to Complexity,/course/complexity-explorer-introduction-to-complexity-557,https://www.complexityexplorer.org/courses/97-introduction-to-complexity,ce,"In this course you'll learn about the tools used by scientists to understand complex systems. The topics you'll learn about include dynamics, chaos, fractals, information theory, self-organization, agent-based modeling, and networks.","10 weeks, 3-6 hours a week",/university/sfi,free,classCentral,en
Prasad Setty of Google on People Analytics,/course/acumen-academy-prasad-setty-of-google-on-people-analytics-33450,https://acumenacademy.org/course/prasad-setty-of-google-on-people-analytics/,acumen,"People Analytics is an emerging field that uses data to attract, retain, and develop talent. Leaders can make personnel decisions based on evidence, rather than instincts or politics. Prasad Setty, head of People Analytics at Google, offers a behind-the-…",3 hours,/provider/acumen,free,classCentral,en
Affiliate Marketing Without A Website,/course/udemy-affiliate-marketing-without-website-125083,https://www.udemy.com/course/affiliate-marketing-without-website/,udemy,"Learn to start an affiliate marketing business without a website, using free tools and resources. Master niche selection, product choice, keyword use, and traffic generation.",1-2 hours,/provider/udemy,free,classCentral,en
Intro to Game AI and Reinforcement Learning,/course/intro-to-game-ai-and-reinforcement-learning-74263,https://www.kaggle.com/learn/intro-to-game-ai-and-reinforcement-learning,kaggle,"Build your own video game bots, using classic and cutting-edge algorithms.",4 hours,/provider/kaggle,free,classCentral,en
Build mobile and desktop apps with .NET MAUI,/course/microsoft-learn-build-mobile-and-desktop-apps-with-net-maui-262502,https://learn.microsoft.com/en-us/training/paths/build-apps-with-dotnet-maui/,microsoft-learn,"Module 1: Learn how to use Visual Studio with .NET MAUI to create a cross-platform app.In this module, you will:  Learn the basic architecture of .NET MAUI. Create .NET MAUI app. Define a shared UI for the platforms supported by .NET MAUI. Deploy a .NET…",5 hours 45 minutes,/institution/microsoft,free,classCentral,en
Caching and Datagroups with LookML,/course/caching-and-datagroups-with-lookml-200335,https://www.cloudskillsboost.google/focuses/18474,cloudskillsboost,"In this lab, you will learn how caching works in Looker and explore how to use LookML objects called datagroups to define caching policies.",,/institution/google,free,classCentral,en
Assistive technologies and online learning,/course/openlearn-education-development-assistive-technologies-and-online-learning-95363,https://www.open.edu/openlearn/education-development/assistive-technologies-and-online-learning/content-section-0,openlearn,"In this free course, Assistive technologies and online learning, you will explore some of the technology that disabled students use when accessing computers. We will take a look at the tools and ...",8 hours,/university/tou,free,classCentral,en
"2021 Physician Leadership Virtual Journal Club: Diversity, Equity and Inclusion (RECORDING)",/course/2021-physician-leadership-virtual-journal-club-di-106714,https://stanford.cloud-cme.com/course/courseoverview,independent,"Stanford University offers a recorded course on diversity, equity, and inclusion for physicians in leadership roles, focusing on key leadership skills and management strategies.",,/university/stanford,free,classCentral,en
Off Our Needles Season 3,/course/craftsy-off-our-needles-season-3-116477,https://www.craftsy.com/class/off-our-needles-season-3,craftsy,"Hold onto your needles! Tracie and Jodi, a.k.a. the Grocery Girls, are here to dish out fresh fiber inspiration. From project picks to wooly good gossip, things are about to get super knitty…",2 hours 14 minutes,/provider/craftsy,free,classCentral,en
You Are Your Habits,/course/creativelive-you-are-your-habits-128738,https://www.creativelive.com/class/you-are-your-habits,creativelive,"You Are Your Habits with Julien Smith, Chase Jarvis",1 hour 4 minutes,/provider/creativelive,free,classCentral,en
Quantitative Marketing Research,/course/swayam-quantitative-marketing-research-17753,https://onlinecourses.swayam2.ac.in/imb24_mg15/preview,swayam,"Marketing research is crucial to marketing managers. In this course, we introduce quantitative marketing research techniques in conjunction with key marketing concepts. The participant is introduced to the concept of value and willingness-to-pay, along w…",6 weeks,/university/iimb,free,classCentral,en
Great Economists: Classical Economics and Its Forerunners,/course/marginal-revolution-university-great-economists-classical-economics-and-its-forerunners-890,https://mru.org/great-economists-classical-economics-and-its-forerunners,mru,"Isaac Gervaise, Montesquieu, Adam Smith, Malthus, Ricardo, John Stuart Mill, Hayek, and more.",9 hours,/provider/mru,free,classCentral,en
STAT 500: Applied Statistics,/course/open-edatpsu-stat-500-applied-statistics-116650,https://online.stat.psu.edu/statprogram/stat500,oer-psu,"This graduate level course provides an introduction to the basic concepts of probability, common distributions, statistical methods, and data analysis. It is intended for graduate students who have one undergraduate statistics course and who wish to revi…",,/university/psu,free,classCentral,en
Learning Online: Studying and Reflecting,/course/reflecting-and-sharing-5017,https://www.futurelearn.com/courses/reflecting-and-sharing,futurelearn,"Explore online learning tools and strategies with this 2-week course from the University of Leeds. Enhance your study skills, learn to reflect effectively, and share your learning with others.","2 weeks, 2 hours a week",/university/leeds,free,classCentral,en
Financing Innovative Ventures,/course/venture-capital-the-university-of-maryland-colleg-19115,https://www.edx.org/learn/venture-capital/the-university-of-maryland-college-park-financing-innovative-ventures,edx,Demystify key financial concepts for creating a financial plan for your new venture to raise the right funding from the right partners at the right time,"4 weeks, 2-3 hours a week",/university/usmd,free,classCentral,en
Systems Operator Learning Plan,/course/systems-operator-learning-plan-71028,https://explore.skillbuilder.aws/learn/public/learning_plan/view/90/systems-operator-learning-plan,aws-skill-builder,"Master system operations on AWS with this 20-hour course. Learn to automate applications, networks, and systems, and prepare for the AWS Certified SysOps Administrator - Associate exam.",20 hours,/institution/aws,free,classCentral,en
Teaching Statistics Through Data Investigations,/course/mooc-ed-teaching-statistics-through-data-investigations-3274,https://place.fi.ncsu.edu/local/catalog/course.php,mooced,"Our world is rich with data sources, and technology makes data more accessible than ever before! To help ensure students are future ready to use data for making informed decisions, many countries around the world have increased the emphasis on statistics…",6 weeks,/institution/friday-institute,free,classCentral,en
Game Theory II- Dynamic Games,/course/complexity-explorer-game-theory-ii-dynamic-games-11492,https://www.complexityexplorer.org/courses/78-game-theory-ii-dynamic-games,ce,This tutorial is the second part of of Dr. Justin Grana's tutorial on game theory,1 hour,/university/sfi,free,classCentral,en
Human Capital Strategy for Social Enterprises,/course/acumen-academy-human-capital-strategy-for-social-enterprises-9104,https://acumenacademy.org/,acumen,"When scaling a business, many entrepreneurs consider the financial capital they’ll have to raise. However, a social enterprise’s ability to succeed in complex markets is also contingent on its human capital.    Developing strategies to attract, retain and…","8 weeks, 3 hours a week",/provider/acumen,free,classCentral,en
First Aid & Basic Life Support (BLS),/course/udemy-first-aid-basic-life-support-31967,https://www.udemy.com/course/first-aid-basic-life-support/,udemy,"Learn CPR, FA, & AED and BLS online! Created by physicians and adheres to the latest ILCOR Standards and Guidelines",2 hours 10 minutes,/provider/udemy,free,classCentral,en
Learn the fundamentals of Dynamics 365 projects,/course/microsoft-learn-learn-the-fundamentals-of-dynamics-365-projects-262608,https://learn.microsoft.com/en-us/training/paths/learn-fundamentals-dynamics-365-projects/,microsoft-learn,"Module 1: This module introduces Microsoft Dynamics 365, digital transformation, project teams and stakeholders, and implementation methodologies.In this module, you will:  Learn about the path to success as a Business Applications professional. Discover…",5 hours 54 minutes,/institution/microsoft,free,classCentral,en
Introduction to Google Workspace Administration,/course/introduction-to-google-workspace-administration-199667,https://www.cloudskillsboost.google/course_templates/90,cloudskillsboost,"Learn to manage Google Workspace with Google's own course. Master user provisioning, group creation, Cloud Directory use, and admin privilege delegation.",16 hours,/institution/google,free,classCentral,en
Evolution through natural selection,/course/openlearn-nature-environment-natural-history-evolution-through-natural-selection-95944,https://www.open.edu/openlearn/nature-environment/natural-history/evolution-through-natural-selection/content-section-0,openlearn,"In this free course, Evolution through natural selection, we describe the theory of evolution by natural selection as proposed by Charles Darwin in his book, first published in 1859, On the Origin ...",4 hours,/university/tou,free,classCentral,en
Pediatric Grand Rounds (RECORDING) Pediatric Acute Myeloid Leukemia: A Clinical Challenge,/course/pediatric-grand-rounds-recording-pediatric-acute--106652,https://stanford.cloud-cme.com/course/courseoverview,independent,"Stanford University offers an online course on Pediatric Acute Myeloid Leukemia, providing latest research, treatment protocols, and future directions in the field.",,/university/stanford,free,classCentral,en
"Why Grit, Persistence, and Hard Work Matters",/course/creativelive-why-grit-persistence-and-hard-work-m-128753,https://www.creativelive.com/class/why-grit-persistence-and-hard-work-matters,creativelive,"Why Grit, Persistence, and Hard Work Matters with Daymond John, Chase Jarvis",1 hour 5 minutes,/provider/creativelive,free,classCentral,en
Evolution of Business and Market,/course/swayam-evolution-of-business-and-market-272831,https://onlinecourses.swayam2.ac.in/imb24_mg42/preview,swayam,"This course deals with how businesses and markets have evolved over time. The six-week course is divided into six themes focused on the evolution of businesses and markets, and the role of networks, institutions, culture and technology in their evolution…",,/university/iimb,free,classCentral,en
Food Safety and Nutrition: A Global Approach to Public Health,/course/global-food-safety-and-nutrition-47279,https://www.futurelearn.com/courses/global-food-safety-and-nutrition,futurelearn,Understand global food security issues and learn about research designed to tackle food safety and nutrition challenges.,"3 weeks, 3 hours a week",/university/leeds,free,classCentral,en
"Circular Fashion: Design, Science and Value in a Sustainable Clothing Industry",/course/fashion-wageningen-university-research-circular-f-17080,https://www.edx.org/learn/fashion/wageningen-university-research-circular-fashion-design-science-and-value-in-a-sustainable-clothing-industry,edx,"The fundamentals of circular fashion unraveled, learn about circularity in all steps of the fashion value chain. From new textile materials and circular design all the way to business modelling.","5 weeks, 8-12 hours a week",/university/wageningenur,free,classCentral,en
Storage Learning Plan: File Storage,/course/storage-learning-plan-file-storage-71044,https://explore.skillbuilder.aws/learn/public/learning_plan/view/95/storage-learning-plan-file-storage,aws-skill-builder,Learn to create and manage highly available storage solutions with Amazon Web Services. Master Amazon EFS and FSx in this 3-4 hour course.,3-4 hours,/institution/aws,free,classCentral,en
English Launch: Learn English for Free - Upgrade all areas,/course/udemy-english-launch-learn-english-for-free-upgra-31879,https://www.udemy.com/course/english-launch-learn-english-for-free-upgrade-all-areas/,udemy,Improve all areas of your English in this taster course. Learn from a native British speaker to become more fluent.,5 hours 2 minutes,/provider/udemy,free,classCentral,en
Administer remote computers by using Windows PowerShell,/course/microsoft-learn-administer-remote-computers-by-using-windows-powershell-262623,https://learn.microsoft.com/en-us/training/paths/administer-remote-computers-use-windows-powershell/,microsoft-learn,"Module 1: This module explains how to use remoting to perform administration on remote computers.Upon completion of this module, the learner will be able to:  Describe the Windows PowerShell remoting architecture. Explain the difference between Windows P…",2 hours 23 minutes,/institution/microsoft,free,classCentral,en
Google Workspace Mail Management - Locales,/course/google-workspace-mail-management---locales-199709,https://www.cloudskillsboost.google/paths,cloudskillsboost,"Google's course for non-English learners on protecting organizations from cyber threats, configuring email compliance, implementing data loss prevention, and managing mail routing options.",1 day 16 hours,/institution/google,free,classCentral,en
The business of film,/course/openlearn-history-the-arts-the-business-film-95762,https://www.open.edu/openlearn/history-the-arts/the-business-film/content-section-overview,openlearn,"This free 12-hour course explores the intriguing world of film production, and illuminates the processes of film development, distribution and finance.",12 hours,/university/tou,free,classCentral,en
Stanford Medcast Episode 21: Hidden and Here Miniseries Part 4,/course/stanford-medcast-episode-21-hidden-and-here-minis-106716,https://stanford.cloud-cme.com/course/courseoverview,independent,Stanford University offers a continuing medical education course discussing the role of non-clinical essential workers during the COVID-19 pandemic.,,/university/stanford,free,classCentral,en
MATLAB Onramp,/course/matlab-onramp-94369,https://matlabacademy.mathworks.com/details/matlab-onramp/gettingstarted,matlab-academy,Get started quickly with the basics of MATLAB.,2 hours,/institution/mathworks,free,classCentral,en
